publishedAt,authorDisplayName,textDisplay,likeCount
2025-10-07T23:17:59Z,@Borneo_Selatan,Info Magang Umur 35up,2
2025-10-08T07:08:41Z,@dargoputra2626,"Berat, mas.",1
2025-10-08T07:09:01Z,@Borneo_Selatan,​@dargoputra2626😂😂😂😂😂😂,0
2025-10-07T16:51:26Z,@TaufikSandiman-ye8vd,PROGRAM GAK GUNA 😂😂😂,0
2025-10-07T16:51:04Z,@TaufikSandiman-ye8vd,Emang YANG PANTES KERJA YANG SARJANA DOANG? <br>APA GUNANYA 270JT PENDUDUK KALO YANG KERJA SARJANA S1-S2 👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽,0
2025-10-07T15:08:04Z,@NONAME-iu4rv,Mahasiswa smester 5 bisa ngak?,0
2025-10-07T14:17:38Z,@imansatria456,Bapaku lulus s2,0
2025-10-07T13:36:20Z,@Abdul63737,Proyek pemerintah apa lagi ini😂😂,0
2025-10-07T11:49:34Z,@Zeldabilal,"Harusnya SMA dibanyakin, buat biaya kuliah jadi S1.<br>Bukan justru prioritas S1 yg di buat magang, lucu.",4
2025-10-07T11:22:00Z,@DandiPrasetyo-q9w,Yang di cari cuman lulusan D3 sama S1 doank gimna dengan yang lulusan SMA,2
2025-10-07T10:44:55Z,@itz.patrikzs,Ini mah kaya progam kartu prakerja😅 ujung2nya menghabiskan uang anggaran tapi rqkyat masih nganggur,30
2025-10-07T10:31:09Z,@jogresslord234,"Mbak,yg bicara dilapangan boleh kah aku menjadi pacarmu❤😘",0
2025-10-07T09:56:04Z,@KappaSura,Lahan korupsi lagi nih,0
2025-10-07T09:21:02Z,@messknown8104,⚽,0
2025-10-07T08:21:43Z,@KrisDuansah,Gak usah magang2 buka lowongan noh janjinya mana😂,27
2025-10-11T07:52:33Z,@Drivermudaarab,Pekerjaan scrool hp wkwk,0
2025-10-07T08:21:01Z,@KrisDuansah,Hahaahha emang iya masuk😅,0
2025-10-07T05:26:48Z,@Ejaa8p205,Pemerintah mau mengatasi pengangguran tapi masih pake syarat. Di luar negeri ijazah gak guna yg penting skill. Skillnya yg dites bukan nyari2 siapa yg punya pendidikan tinggi. Hedeh pemerintah indonesia kapan mau berbenah.,12
2025-10-07T00:54:51Z,@leksidlek8854,Magang kenapa harus pakai standar ijasah.,3
2025-10-07T00:09:38Z,@AbdulRahmanAlVino-el6qt,Tambah kencang korupsinya di depnaker indonesia,1
2025-10-06T16:23:22Z,@RajaOprekOri,"Yaelaaahh,, ujung ujungnya duitt.. gw sarjana s1 aja gojek.. kalah sama yg berduit, sogok beres mau sarjana mau kaga langsung kerja lu",1
2025-10-06T16:17:49Z,@dhaffasya,Program abal2 ujung2nya di korupsi 😂,2
2025-10-06T15:11:02Z,@LunaGwa-iu3zz,Magang ke mana??? Takutnya magang ke Kamboja.,14
2025-10-07T03:04:47Z,@KucingGENIOUS1234,😂😂nah itu dia😂,1
2025-10-07T09:13:58Z,@JK4R-69,di antar lagsung sama Budi Arie 😂,1
2025-10-06T14:06:35Z,@borisjohn4605,Magang wajib dibayar. Jangan diperas tenaga dan intelektualnya dengan diberi tugas dobel melebihi karyawan tetap. Para karyawan jangan memperlakukan mereka yg magang seperti budak!!,14
2025-10-07T03:05:38Z,@KucingGENIOUS1234,Bnr tuuh...magang jng disiksa jg,0
2025-10-12T14:43:28Z,@kaoskaosdistro,"Itu dibaca, insentif UMK<br>makanya video diliat sampe akhir 😂",1
2025-10-06T13:44:28Z,@masprie2673,pejabat2 indo  yg dah tuwa suruh mati j biar di gantikan yg baru lulusan s.10,1
2025-10-06T15:11:54Z,@feryhadi7891,"@masprie2673 tunggu 2045, itupun klo negara ini masih ada 😂",0
